"Anno","Mese","Cantone","Pernottamenti"
"2005","Giugno","Obwalden",56953
"2005","Giugno","Nidwalden",32876
"2005","Giugno","Glarus",10870
"2005","Giugno","Zug",22978
"2005","Giugno","Fribourg / Freiburg",35460
"2005","Giugno","Solothurn",31720
"2005","Giugno","Basel-Stadt",73968
"2005","Giugno","Basel-Landschaft",19580
"2005","Giugno","Schaffhausen",11735
"2005","Giugno","Appenzell Ausserrhoden",17785
"2005","Giugno","Appenzell Innerrhoden",14825
"2005","Giugno","St. Gallen",89363
"2005","Giugno","Graubünden / Grigioni / Grischun",315895
"2005","Giugno","Aargau",55543
"2005","Giugno","Thurgau",42120
"2005","Giugno","Ticino",291512
"2005","Giugno","Vaud",229525
"2005","Giugno","Valais / Wallis",250397
"2005","Giugno","Neuchâtel",20262
"2005","Giugno","Genève",220343
"2005","Giugno","Jura",7245
"2005","Luglio","Schweiz",3775995
"2005","Luglio","Zürich",337231
"2005","Luglio","Bern / Berne",596374
"2005","Luglio","Luzern",183195
"2005","Luglio","Uri",36736
"2005","Luglio","Schwyz",66213
"2005","Luglio","Obwalden",75325
"2005","Luglio","Nidwalden",37019
"2005","Luglio","Glarus",15034
"2005","Luglio","Zug",24306
"2005","Luglio","Fribourg / Freiburg",42023
"2005","Luglio","Solothurn",30833
"2005","Luglio","Basel-Stadt",44818
"2005","Luglio","Basel-Landschaft",16762
"2005","Luglio","Schaffhausen",12710
"2005","Luglio","Appenzell Ausserrhoden",14864
"2005","Luglio","Appenzell Innerrhoden",20818
"2005","Luglio","St. Gallen",93188
"2005","Luglio","Graubünden / Grigioni / Grischun",627198
"2005","Luglio","Aargau",47076
"2005","Luglio","Thurgau",42104
"2005","Luglio","Ticino",389885
"2005","Luglio","Vaud",273385
"2005","Luglio","Valais / Wallis",491445
"2005","Luglio","Neuchâtel",21866
"2005","Luglio","Genève",225025
"2005","Luglio","Jura",10562
"2005","Agosto","Schweiz",3868916
"2005","Agosto","Zürich",363466
"2005","Agosto","Bern / Berne",593086
"2005","Agosto","Luzern",182344
"2005","Agosto","Uri",33519
"2005","Agosto","Schwyz",64860
"2005","Agosto","Obwalden",61564
"2005","Agosto","Nidwalden",36064
"2005","Agosto","Glarus",15000
"2005","Agosto","Zug",20725
"2005","Agosto","Fribourg / Freiburg",41100
"2005","Agosto","Solothurn",31496
"2005","Agosto","Basel-Stadt",59474
"2005","Agosto","Basel-Landschaft",20608
"2005","Agosto","Schaffhausen",12890
"2005","Agosto","Appenzell Ausserrhoden",17349
"2005","Agosto","Appenzell Innerrhoden",21530
"2005","Agosto","St. Gallen",104616
"2005","Agosto","Graubünden / Grigioni / Grischun",660301
"2005","Agosto","Aargau",55140
"2005","Agosto","Thurgau",41909
